id,driving_children,dob,age,home_children,years_on_job,income,single_parent,home_value,marital_status,gender,education,occupation,travel_time,car_use,vehicle_value,time_in_force,car_type,red_car,total_claims_5_years,claims_frequency_5_years,license_revoked,vehicle_points,claims_amount,car_age,claims_flag_crash,city_population
800426023,0,1954-12-02,44,2,15,16352,0,134164,1,F,High School,Home Maker,37,Private,10520,1,SUV,0,7838,1,0,1,8841,1,1,Urban
14827139,0,1943-02-07,56,0,16,44760,0,164852,1,M,Bachelors,Manager,30,Private,21770,13,Minivan,1,0,0,0,0,0,6,0,Urban
212687745,1,1953-12-30,45,1,14,63952,0,196368,1,F,Masters,Lawyer,50,Private,32340,6,Van,0,27877,2,1,0,2117,13,1,Urban
224701093,0,1965-04-16,34,3,12,22510,0,123888,1,M,High School,Clerical,26,Private,14690,4,Minivan,1,0,0,1,0,1230,1,1,Rural
926073051,1,1955-10-12,44,2,47,24060,1,0,0,M,Bachelors,Clerical,24,Private,14220,4,Minivan,0,0,0,0,0,3532,10,1,Urban
45830738,0,1966-07-25,33,4,12,20822,0,76022,1,F,High School,Home Maker,46,Private,6880,13,SUV,0,7896,3,0,0,866,1,1,Urban
997497927,0,1966-12-06,32,3,14,54968,0,146784,1,F,High School,Professional,20,Private,10040,4,SUV,0,0,0,1,0,0,8,0,Urban
862203239,0,1965-10-20,34,0,8,14194,0,87034,0,F,High School,Clerical,13,Private,2920,4,Sports Car,0,24767,3,1,2,7786,10,1,Urban
116102677,1,1961-11-06,38,4,12,2149,0,72889,1,F,High School,Home Maker,35,Private,22690,10,Pickup,0,0,0,0,2,0,1,0,Urban
62434528,2,1956-05-10,43,3,11,137103,1,0,0,F,Masters,Manager,29,Private,19510,1,Sports Car,0,8890,3,0,0,4148,15,1,Urban
948288985,0,1953-10-25,46,0,10,79538,0,0,0,F,Bachelors,Manager,13,Private,14050,3,Minivan,0,0,0,1,2,0,11,0,Urban
396323054,0,1953-12-03,45,1,11,185836,0,509115,1,F,PhD,Lawyer,28,Private,10250,1,SUV,0,4307,3,0,6,0,20,0,Urban
429992959,0,1936-09-16,63,0,9,74426,0,0,0,F,PhD,Doctor,11,Private,27600,1,SUV,0,0,0,0,0,0,18,0,Urban
160577728,0,1955-02-18,44,0,9,74722,0,231034,1,F,Bachelors,Professional,9,Private,23640,6,Minivan,0,0,0,0,0,0,1,0,Urban
108385737,1,1954-03-07,45,2,11,102393,1,0,0,M,Bachelors,Professional,25,Private,1500,1,Minivan,1,0,0,0,2,2371,11,1,Urban
414142186,0,1937-09-17,62,0,15,40656,0,208242,1,F,High School,Clerical,57,Private,9170,4,Sports Car,0,42342,2,1,2,4178,7,1,Urban
537840281,0,1964-08-27,35,0,5,29371,0,0,0,F,High School,Clerical,49,Private,4860,10,Sports Car,0,0,0,0,0,0,1,0,Urban
748139140,0,1951-08-13,48,0,12,31773,0,165090,1,M,High School,Clerical,14,Commercial,9640,13,Pickup,0,1212,1,0,4,1354,1,1,Urban
601118153,0,1959-12-26,39,0,11,33727,0,0,0,F,Bachelors,Clerical,27,Private,10850,1,SUV,0,8350,1,0,2,0,12,0,Urban
808304017,0,1950-05-30,49,0,0,0,0,159389,1,F,Masters,Professional,42,Private,6400,10,SUV,0,9115,1,0,6,0,14,0,Urban
803325269,0,1955-07-24,44,2,15,139330,1,316900,0,F,High School,Blue Collar,35,Commercial,22050,10,Sports Car,0,0,0,0,0,0,1,0,Rural
701235200,0,1948-12-22,50,0,13,163296,0,447616,0,F,PhD,Lawyer,42,Private,22830,1,Minivan,0,0,0,0,0,0,14,0,Rural
916609661,0,1969-10-03,30,1,10,17455,1,140978,0,F,High School,Blue Collar,50,Private,12380,13,Minivan,0,0,0,0,0,0,6,0,Rural
469714824,0,1945-11-03,54,0,61,71007,0,240833,1,M,Bachelors,Manager,61,Private,14000,6,Minivan,0,0,0,0,0,0,11,0,Urban
46606719,0,1961-09-06,38,0,0,0,0,0,1,M,High School,Student,41,Commercial,17470,10,Van,0,3157,2,0,5,0,6,0,Rural
454040458,0,1946-04-09,53,0,6,38036,0,153381,1,F,High School,Blue Collar,32,Commercial,13140,1,SUV,0,0,0,0,4,2425,1,1,Urban
951246359,0,1946-03-30,53,0,13,41199,0,150933,0,F,Bachelors,Manager,21,Private,15360,1,SUV,0,0,0,0,0,0,8,0,Urban
389315422,0,1969-11-28,29,1,10,38042,1,202967,0,M,High School,Professional,15,Private,15160,6,Minivan,0,0,0,0,0,0,1,0,Urban
184578161,0,1944-07-25,55,0,7,45787,0,173196,1,F,Masters,Lawyer,5,Private,19380,6,Minivan,0,0,0,0,0,0,13,0,Urban
59798468,0,1944-09-17,55,0,18,84964,0,227091,1,M,Bachelors,Blue Collar,21,Commercial,5760,1,Pickup,1,969,2,0,6,0,11,0,Urban
402443529,0,1959-12-20,39,2,0,0,0,69369,1,F,High School,Home Maker,36,Private,8750,4,Sports Car,0,0,0,0,0,0,8,0,Urban
298667574,2,1955-06-26,44,2,13,142588,0,365256,1,M,Masters,Manager,28,Private,21790,6,Minivan,1,0,0,0,2,0,9,0,Urban
303462460,0,1965-05-13,34,0,11,51565,0,0,0,M,Masters,Lawyer,36,Private,18110,1,Van,1,759,2,0,3,0,15,0,Urban
629946797,0,1965-08-08,34,3,0,0,0,66358,1,F,High School,Home Maker,25,Private,11740,9,SUV,0,1800,2,0,2,5711,1,1,Urban
783473090,0,1963-01-06,36,0,11,105384,0,267509,1,M,Masters,Professional,24,Private,13800,7,Minivan,1,31695,3,1,4,0,17,0,Urban
8565171,0,1958-10-13,41,0,10,66265,0,159276,1,M,Masters,Lawyer,59,Private,12230,4,Minivan,1,0,0,0,1,13105,9,1,Urban
867703916,0,1954-03-08,45,0,12,32394,0,0,0,F,High School,Clerical,33,Private,13770,4,SUV,0,0,0,0,0,0,1,0,Urban
593582812,0,1957-07-31,42,0,9,76226,0,217920,1,M,Bachelors,Blue Collar,18,Commercial,23390,13,Panel Truck,1,0,0,0,0,0,14,0,Urban
22340563,1,1961-05-25,38,3,16,7528,0,113809,1,M,High School,Clerical,26,Private,8080,1,Pickup,1,0,0,0,0,0,8,0,Rural
679555193,0,1966-02-16,33,4,0,0,1,0,0,M,High School,Student,14,Commercial,15090,1,Minivan,1,1631,1,0,2,7838,5,1,Urban
700623278,1,1957-01-05,42,1,9,32797,0,160661,1,F,Masters,Lawyer,63,Private,21690,1,Minivan,0,0,0,0,2,0,14,0,Urban
755810990,0,1951-11-20,47,0,11,44705,0,217885,1,F,Bachelors,Professional,50,Private,12840,1,SUV,0,1533,2,0,0,5125,10,1,Urban
464090162,0,1956-11-11,43,1,0,0,0,70170,1,F,Bachelors,Home Maker,26,Private,8350,1,SUV,0,0,0,0,3,0,7,0,Urban
170483243,0,1947-06-06,52,0,9,68992,0,216986,0,F,Bachelors,Blue Collar,36,Commercial,15120,1,Minivan,0,0,0,0,3,0,10,0,Rural
421316364,0,1956-10-08,43,0,11,132561,0,314433,0,M,Masters,Professional,8,Commercial,30150,16,Panel Truck,0,12294,1,0,0,0,1,0,Urban
505563410,0,1935-01-06,64,0,15,31738,0,197010,1,M,High School,Blue Collar,23,Commercial,14620,6,SUV,0,3994,2,0,0,5085,1,1,Urban
813759954,0,1933-01-21,66,1,17,96830,0,325826,1,M,Masters,Professional,23,Private,11180,7,SUV,0,0,0,0,0,0,16,0,Urban
130470336,2,1963-12-08,35,4,6,154577,1,397868,0,F,Bachelors,Blue Collar,27,Private,20450,6,SUV,0,4645,1,0,3,0,1,0,Urban
637739719,0,1947-04-23,52,0,7,64014,0,244863,1,M,High School,Blue Collar,33,Commercial,7900,4,Pickup,1,8882,3,0,1,2143,5,1,Urban
427956603,0,1947-09-11,52,0,11,79348,0,270032,1,F,High School,Manager,23,Private,13150,11,SUV,0,0,0,0,2,0,1,0,Urban
765577228,0,1944-05-08,55,0,15,108152,0,329756,1,F,Masters,Manager,18,Private,12320,1,SUV,0,0,0,1,0,0,15,0,Urban
106556153,0,1973-03-04,26,0,8,53244,0,0,0,M,Bachelors,Professional,28,Commercial,20920,3,Van,1,6224,1,0,1,4028,8,1,Urban
199037688,1,1938-09-05,61,2,17,41857,0,169015,1,F,Masters,Manager,35,Private,20870,1,Sports Car,0,0,0,0,0,0,21,0,Urban
602893924,0,1958-10-22,41,1,8,126468,1,0,0,F,Masters,Manager,34,Commercial,32690,3,Pickup,0,0,0,0,2,2114,18,1,Urban
52095937,3,1959-06-19,40,3,9,75516,0,247673,1,F,High School,Blue Collar,53,Commercial,13050,5,Sports Car,0,0,0,1,0,0,6,0,Rural
351243985,0,1947-03-06,52,0,16,76954,0,249290,0,M,Bachelors,Professional,44,Private,19540,6,Minivan,1,0,0,1,0,0,11,0,Urban
838970447,0,1941-07-29,58,1,8,150352,0,421665,1,F,Masters,Manager,21,Private,24240,6,Pickup,0,0,0,0,0,0,17,0,Urban
515204929,0,1947-01-20,52,0,8,88560,0,244028,1,M,Masters,Lawyer,14,Private,13630,1,Minivan,0,0,0,0,4,0,17,0,Urban
711833264,1,1961-04-25,38,1,12,37580,0,173495,1,F,High School,Clerical,36,Private,5260,7,SUV,0,867,2,0,0,8671,1,1,Urban
818910510,0,1958-04-08,41,2,15,23344,0,147172,1,M,High School,Blue Collar,10,Private,7930,1,Pickup,0,0,0,0,1,6287,1,1,Urban
243016778,0,1962-01-20,37,0,16,43290,0,158771,1,F,Bachelors,Blue Collar,29,Private,23640,1,SUV,0,0,0,0,0,0,10,0,Urban
456565450,0,1950-11-22,48,0,10,48737,0,220264,1,M,Bachelors,Manager,24,Private,11220,9,Pickup,1,0,0,0,1,0,1,0,Urban
693628088,0,1952-01-16,47,0,12,64259,0,202031,1,M,High School,Clerical,26,Private,25100,18,Minivan,0,9526,4,0,3,0,9,0,Urban
504537312,0,1950-03-17,49,0,12,53765,0,0,0,F,Bachelors,Professional,5,Private,12360,4,SUV,0,0,0,0,0,0,1,0,Urban
82973186,0,1958-07-05,41,0,6,12541,0,0,0,M,High School,Clerical,5,Private,7500,1,Minivan,1,0,0,0,0,0,1,0,Rural
411375726,0,1955-04-05,44,1,17,67278,0,220556,1,F,Masters,Lawyer,49,Private,20210,1,Minivan,0,0,0,0,0,0,16,0,Rural
789568994,0,1953-06-16,46,0,10,104990,0,306540,0,F,Bachelors,Professional,40,Private,16080,13,SUV,0,0,0,0,0,0,7,0,Urban
927823143,0,1950-01-02,49,0,6,89948,0,0,0,F,Bachelors,Professional,37,Private,18160,7,SUV,0,0,0,0,4,0,9,0,Urban
179968769,0,1936-12-03,62,0,6,107734,0,0,0,F,PhD,Lawyer,54,Private,18470,3,SUV,0,0,0,0,0,0,15,0,Urban
180832267,0,1957-01-18,42,0,0,0,0,0,0,M,High School,Student,47,Commercial,5700,11,Pickup,1,0,0,0,5,10594,1,1,Urban
328154114,0,1963-08-20,36,2,12,25282,1,0,0,F,High School,Clerical,38,Private,11160,1,SUV,0,0,0,0,0,0,1,0,Rural
316724150,0,1951-12-24,47,0,11,18549,0,116136,1,M,Masters,Lawyer,24,Private,12800,7,Minivan,0,0,0,0,0,0,14,0,Urban
680425927,0,1948-02-07,51,0,9,50166,0,187297,0,M,High School,Blue Collar,32,Commercial,11620,1,Pickup,0,50701,3,1,0,0,1,0,Urban
541204921,0,1953-09-08,46,0,8,73872,0,245878,1,F,Masters,Lawyer,43,Private,20240,4,Sports Car,0,0,0,0,0,0,16,0,Rural
329922821,0,1949-02-18,50,0,14,73343,0,254600,1,F,High School,Manager,60,Private,20010,1,Minivan,0,4179,2,0,4,0,8,0,Urban
271813109,0,1956-09-18,43,2,15,49849,1,0,0,F,Masters,Lawyer,35,Private,13130,1,SUV,0,3622,3,0,4,6158,20,1,Urban
394642738,1,1960-02-28,39,1,16,12054,0,0,1,F,High School,Student,28,Commercial,15760,4,Pickup,0,1738,2,1,4,4887,1,1,Urban
93412915,0,1956-07-03,43,3,14,48184,0,209188,1,F,High School,Blue Collar,50,Commercial,14530,12,Sports Car,0,6891,2,0,5,0,1,0,Urban
531912267,0,1939-03-13,60,3,18,78936,0,235670,1,F,Masters,Lawyer,40,Private,20350,6,SUV,0,0,0,0,0,5147,15,1,Urban
753941980,0,1944-03-07,55,0,0,0,0,0,0,M,High School,Student,33,Private,7000,4,Pickup,0,0,0,0,0,0,1,0,Rural
116801717,0,1959-05-21,40,0,10,78914,0,229055,0,F,Bachelors,Manager,36,Private,5500,10,SUV,0,6803,2,0,6,0,10,0,Urban
56874449,0,1960-04-28,39,0,6,77125,0,210840,1,F,Bachelors,Clerical,49,Private,9570,7,Sports Car,0,0,0,0,1,0,13,0,Urban
426760177,0,1949-12-18,49,0,46,38326,0,133010,1,M,Masters,Lawyer,5,Private,10230,4,Pickup,1,0,0,0,0,0,17,0,Urban
632192290,0,1961-10-27,38,0,14,25835,0,109685,1,M,High School,Clerical,29,Private,8490,6,Pickup,1,0,0,0,1,0,12,0,Urban
293412653,0,1957-11-08,42,0,12,47660,0,180206,1,M,Masters,Professional,31,Private,11940,7,Pickup,1,974,2,0,6,0,18,0,Urban
285566265,0,1957-03-05,42,0,10,123143,0,306368,0,F,Masters,Manager,16,Private,24930,4,Minivan,0,0,0,0,3,0,14,0,Urban
461573915,0,1950-02-04,49,0,8,22059,0,123924,1,F,High School,Clerical,24,Commercial,21990,11,Pickup,0,0,0,0,1,0,1,0,Urban
735267214,1,1963-08-04,36,1,12,50750,1,0,0,F,Masters,Manager,26,Private,10170,7,SUV,0,5877,3,0,7,0,14,0,Urban
225215551,0,1965-05-18,34,1,10,23571,1,0,0,M,High School,Clerical,35,Commercial,12180,7,Pickup,1,0,0,0,0,0,7,0,Urban
715988300,0,1950-09-23,49,0,0,0,0,79913,1,F,PhD,Home Maker,29,Private,18110,7,SUV,0,0,0,0,1,0,1,0,Urban
473135731,0,1947-01-09,52,0,12,35631,0,155972,1,M,High School,Clerical,39,Private,6040,10,Minivan,1,0,0,0,0,0,1,0,Urban
683378483,0,1944-05-16,55,0,14,55409,0,162237,1,M,Bachelors,Blue Collar,45,Commercial,27890,4,Panel Truck,0,0,0,0,0,0,14,0,Rural
986629118,1,1959-01-14,40,2,12,35260,0,141167,1,F,High School,Blue Collar,30,Private,9740,7,SUV,0,2235,1,0,8,0,1,0,Urban
925227514,0,1958-11-23,40,4,15,48067,1,186025,0,F,Bachelors,Clerical,21,Private,18120,8,Minivan,0,0,0,0,0,0,8,0,Urban
437239046,0,1954-03-16,45,2,12,64867,0,210631,1,F,Masters,Lawyer,21,Private,12490,1,SUV,0,0,0,0,0,0,10,0,Urban
493235037,0,1919-07-04,80,2,23,97716,0,389344,1,M,Bachelors,Professional,14,Private,15920,13,Minivan,1,0,0,0,2,0,10,0,Urban
503906420,0,1951-04-03,48,0,10,39613,0,159534,1,M,High School,Blue Collar,48,Commercial,8460,10,Pickup,1,7437,2,0,6,0,1,0,Urban
384628643,0,1959-10-21,40,0,11,49780,0,0,0,F,High School,Clerical,52,Private,10500,6,Sports Car,0,0,0,0,0,0,1,0,Rural
919341680,0,1973-01-12,26,3,9,33283,0,104323,1,M,Bachelors,Blue Collar,37,Commercial,7690,10,Pickup,0,0,0,0,2,2214,16,1,Urban
122722410,0,1954-10-04,45,0,11,60845,0,0,0,F,Bachelors,Manager,31,Private,24260,4,Minivan,0,0,0,0,0,0,18,0,Urban
138562850,0,1953-02-05,46,0,7,26697,0,134863,1,F,High School,Clerical,43,Private,15080,6,SUV,0,0,0,1,4,0,1,0,Urban
582602737,0,1957-01-14,42,0,12,136344,0,0,0,F,PhD,Doctor,45,Private,13160,1,Sports Car,0,0,0,0,0,6087,17,1,Urban
349219108,0,1963-10-19,36,0,7,70313,0,211506,1,F,Bachelors,Professional,55,Private,14960,6,Minivan,0,7650,3,0,5,0,4,0,Urban
197076194,0,1954-07-04,45,3,15,23773,1,0,0,F,High School,Home Maker,9,Commercial,34510,7,Van,0,0,0,0,0,0,1,0,Rural
751811972,0,1947-10-23,52,0,11,115713,0,327167,0,F,Bachelors,Professional,28,Private,21660,6,Sports Car,0,0,0,0,0,0,11,0,Rural
345771306,0,1958-09-13,41,0,8,55364,0,0,0,M,High School,Clerical,17,Commercial,31390,1,Panel Truck,1,0,0,0,3,0,1,0,Rural
164734443,0,1963-06-23,36,0,14,27693,0,130324,1,F,High School,Clerical,37,Private,11300,10,Sports Car,0,19385,1,0,4,0,7,0,Urban
449363369,0,1943-03-31,56,0,0,0,0,103058,1,F,Bachelors,Home Maker,29,Private,27890,13,SUV,0,25147,2,0,0,0,9,0,Urban
699382604,1,1946-04-25,53,1,0,0,0,0,1,F,High School,Student,34,Private,1500,10,Sports Car,0,1175,3,0,2,0,7,0,Rural
270402636,0,1960-01-06,39,0,12,32936,0,169721,0,F,High School,Clerical,12,Private,1500,6,SUV,0,0,0,0,0,3894,7,1,Urban
847568213,0,1961-09-08,38,0,11,33151,0,184852,1,F,Bachelors,Professional,31,Private,11530,13,SUV,0,0,0,0,0,0,9,0,Rural
581342206,1,1954-06-18,45,3,0,0,1,0,0,M,High School,Home Maker,36,Private,16510,4,Minivan,0,17445,3,1,0,2659,1,1,Urban
586056136,0,1953-10-16,46,0,14,24575,0,176282,1,F,High School,Home Maker,73,Private,8560,10,Sports Car,0,0,0,0,0,0,9,0,Rural
621465072,0,1956-02-09,43,2,16,32546,0,200891,1,M,High School,Clerical,49,Private,5800,10,Minivan,1,0,0,0,1,0,5,0,Urban
658489952,1,1945-02-11,54,1,0,0,1,0,0,F,Bachelors,Home Maker,21,Private,18820,6,SUV,0,5537,1,0,6,0,9,0,Urban
159680310,0,1938-10-20,61,0,10,58212,0,226638,1,F,High School,Blue Collar,37,Private,13420,1,Sports Car,0,3573,3,0,3,0,1,0,Rural
444239590,0,1949-07-26,50,0,7,73308,0,240645,0,M,Masters,Lawyer,38,Private,18720,7,Van,0,0,0,0,2,0,19,0,Rural
34434267,0,1936-12-20,62,0,12,22181,0,185459,0,F,High School,Clerical,24,Private,17880,7,Sports Car,0,9873,3,0,5,3705,1,1,Urban
416505182,0,1946-09-07,53,0,15,84345,0,264549,1,F,Bachelors,Manager,36,Private,9930,4,SUV,0,0,0,0,3,6693,5,1,Urban
930929206,0,1945-07-24,54,0,15,107808,0,278940,1,F,Bachelors,Manager,45,Commercial,27020,7,Pickup,0,1780,3,0,0,0,6,0,Urban
23391155,0,1946-02-19,53,1,13,52759,0,164906,1,F,Bachelors,Professional,41,Private,24160,9,Minivan,0,0,0,0,0,0,13,0,Rural
391760011,0,1960-07-01,39,2,12,59685,0,197089,1,M,High School,Blue Collar,42,Commercial,7470,7,Pickup,0,0,0,0,0,0,1,0,Rural
987326546,0,1960-12-08,38,0,12,90647,0,251629,1,F,Masters,Lawyer,38,Private,13740,4,Minivan,0,8450,1,0,0,0,15,0,Rural
381161377,0,1957-07-09,42,0,10,43174,0,208811,0,M,High School,Blue Collar,48,Commercial,10020,13,Pickup,1,0,0,0,0,4380,1,1,Urban
382476479,0,1968-08-29,31,2,14,30653,1,0,0,F,High School,Clerical,41,Private,12930,13,Sports Car,0,35666,2,1,0,1826,7,1,Urban
754620325,0,1958-05-13,41,2,0,0,1,54130,0,F,Masters,Home Maker,18,Private,32090,6,Minivan,0,0,0,0,0,0,17,0,Rural
940500522,0,1951-11-12,48,1,10,84629,0,308848,1,F,Bachelors,Manager,35,Private,15060,7,SUV,0,9592,1,0,0,0,10,0,Urban
934739805,0,1950-06-18,49,0,13,59148,0,162428,1,F,High School,Professional,18,Private,12310,1,SUV,0,8948,1,0,0,0,1,0,Urban
819642529,1,1953-11-28,45,2,17,111268,0,288071,1,F,Masters,Lawyer,46,Private,24600,1,Van,0,28026,2,1,2,4644,10,1,Urban
810723697,0,1952-09-08,47,0,10,81899,0,232928,0,M,High School,Professional,25,Private,14390,1,Minivan,1,0,0,0,0,0,1,0,Urban
